"old_names","new_names"
"csgC","csgC"
"csgD","csgD"
"csgE","csgE"
"csgF","csgF"
"csgG","csgG"
"csiE","csiE"
"cspA","cspA"
"cspC","cspC"
"cspD","cspD"
"cspE","cspE"
"cspH","cspD"
"cspJ","cspJ"
"csrA","csrA"
"cstA","cstA"
"cueO","cueO"
"cueR","cueR"
"cutA","cutA"
"cutC","cutC"
"cvpA","cvpA"
"cyaA","cyaA"
"cyaY","cyaY"
"cybB","cybB"
"cybC","cybC"
"cycA","cycA"
"cydA","cydA"
"cydB","cydB"
"cydC","cydC"
"cydD","cydD"
"cyoA","cyoA"
"cyoB","cyoB"
"cyoC","cyoC"
"cyoD","cyoD"
"cyoE","cyoE"
"cypD","cypD"
"cysA","cysA"
"cysB","cysB"
"cysC","cysC"
"cysD","cysD"
"cysE","cysE"
"cysG","cysG"
"cysH","cysH"
"cysI","cysI"
"cysJ","cysJ"
"cysK","cysK"
"cysM","cysM"
"cysN","cysN"
"cysP","cysP"
"cysQ","cysQ"
"cysS","cysS"
"cysU","cysU"
"cysW","cysW"
"cysZ","cysZ"
"cytR","cytR"
"dacA","dacA"
"dacB","dacB"
"dacC","dacC"
"dacD","dacD"
"dadA","dadA"
"dadX","dadX"
"dam","dam"
"damX","damX"
"dapA","dapA"
"dapB","dapB"
"dapD","dapD"
"dapE","dapE"
"dapF","dapF"
"dbpA","dbpA"
"dcd","dcd"
"dcm","dcm"
"dcoB","dcoB"
"dcp","dcp"
"dctA","dctA"
"dcuA","dcuA"
"dcuB","dcuB"
"dcuC","dcuC"
"dcuR","dcuR"
"dcuS","dcuS"
"dcyD","dcyD"
"ddg","lpxP"
"ddlA","ddlA"
"ddlB","ddlB"
"deaD","deaD"
"dedA","dedA"
"dedD","dedD"
"def","def"
"degP","degP"
"degQ","degQ"
"degS","degS"
"deoA","deoA"
"deoB","deoB"
"deoC","deoC"
"deoD","deoD"
"deoR","deoR"
"der","der"
"dfp","dfp"
"dfr1","dfr1"
"dfrA","dfrA"
"dfrA1","dfrA1"
"dfrA10","dfrA10"
"dfrA12","dfrA12"
"dfrA14","dfrA14"
"dfrA15","dfrA15"
"dfrA15b","dfrA15b"
"dfrA16","dfrA16"
"dfrA17","dfrA17"
"dfrA20","dfrA20"
"dfrA21","dfrA21"
"dfrA22","dfrA22"
"dfrA23","dfrA23"
"dfrA25","dfrA25"
"dfrA27","dfrA27"
"dfrA32","dfrA32"
"dfrA5","dfrA5"
"dfrA7","dfrA7"
"dfrA8","dfrA8"
"dfrB3","dfrB3"
"dfrB6","dfrB6"
"dfrI","dfrI"
"dgcQ","dgcQ"
"dgkA","dgkA"
"dgoD","dgoD"
"dgoK","dgoK"
"dgoR","dgoR"
"dgoT","dgoT"
"dgt","dgt"
"dhfrI","dhfrI"
"dhfrIX","dhfrIX"
"dhfrXII","dhfrXII"
"diaA","diaA"
"dinB","dinB"
"dinF","dinF"
"dinG","dinG"
"dinI","dinI"
"djlA","djlA"
"dkgA","dkgA"
"dkgB","dkgB"
"dksA","dksA"
"dld","dld"
"dlgD","dlgD"
"dmsA","dmsA"
"dmsB","dmsB"
"dmsC","dmsC"
"dmsD","dmsD"
"dnaA","dnaA"
"dnaB","dnaB"
"dnaC","dnaC"
"dnaE","dnaE"
"dnaG","dnaG"
"dnaJ","dnaJ"
"dnaK","dnaK"
"dnaN","dnaN"
"dnaQ","dnaQ"
"dnaT","dnaT"
"dnaX","dnaX"
"dniR","mltD"
"dokD","dokD"
"dpaL","dpaL"
"dpiA","dpiA"
"dpiB","dpiB"
"dppA","dppA"
"dppB","dppB"
"dppC","dppC"
"dppD","dppD"
"dppF","dppF"
"dps","dps"
"drfA12","drfA12"
"dsbA","dsbA"
"dsbB","dsbB"
"dsbC","dsbC"
"dsbD","dsbD"
"dsbE1","dsbE1"
"dsbG","dsbG"
"dsbI","dsbI"
"dsbL","dsbL"
"dsdA","dsdA"
"dsdC","dsdC"
"dsdX","dsdX"
"dsrB","dsrB"
"dtd","dtd"
"dtnK","dtnK"
"dtpA","dtpA"
"dtpB","dtpB"
"dtpD","dtpD"
"dusA","dusA"
"dusB","dusB"
"dusC","dusC"
"dut","dut"
"dxr","dxr"
"dxs","dxs"
"eamA","eamA"
"eamB","eamB"
"ecnA","ecnA"
"ecnB","ecnB"
"ecnR","ecnR"
"eco","eco"
"eda","eda"
"edd","edd"
"efp","efp"
"elaA","elaA"
"elaB","elaB"
"emrA","emrA"
"emrB","emrB"
"emrD","emrD"
"emrR","mprA"
"emtA","emtA"
"endA","endA"
"engB","yihA"
"eno","eno"
"entA","entA"
"entB","entB"
"entC","entC"
"entD","entD"
"entE","entE"
"entF","entF"
"entH","entH"
"entS","entS"
"envE","envE"
"envF","envF"
"envR","envR"
"envZ","envZ"
"epd","epd"
"epmA","epmA"
"epmB","epmB"
"eptA","eptA"
"eptB","eptB"
"era","era"
"ereA","ereA"
"ereA2","ereA2"
"erfK","ldtA"
"ermB","ermB"
"erpA","erpA"
"errn(c)","errn(c)"
"eutA","eutA"
"eutB","eutB"
"eutC","eutC"
"eutD","eutD"
"eutE","eutE"
"eutG","eutG"
"eutH","eutH"
"eutJ","eutJ"
"eutK","eutK"
"eutL","eutL"
"eutM","eutM"
"eutN","eutN"
"eutP","eutP"
"eutQ","eutQ"
"eutR","eutR"
"eutS","eutS"
"eutT","eutT"
"exbB","exbB"
"exbD","exbD"
"exoX","exoX"
"fabA","fabA"
"fabB","fabB"
"fabD","fabD"
"fabF","fabF"
"fabG","fabG"
"fabH","fabH"
"fabI","fabI"
"fabR","fabR"
"fabZ","fabZ"
"fadA","fadA"
"fadB","fadB"
"fadD","fadD"
"fadE","fadE"
"fadH","fadH"
"fadI","fadI"
"fadJ","fadJ"
"fadL","fadL"
"fadR","fadR"
"fba","fbaA"
"fbaB","fbaB"
"fbp","fbp"
"fdhD","fdhD"
"fdhE","fdhE"
"fdhF","fdhF"
"fdnG","fdnG"
"fdnH","fdnH"
"fdnI","fdnI"
"fdoG","fdoG"
"fdoH","fdoH"
"fdoI","fdoI"
"fdrA","fdrA"
"fdx","fdx"
"feoA","feoA"
"feoB","feoB"
"feoC","feoC"
"fepA","fepA"
"fepB","fepB"
"fepC","fepC"
"fepD","fepD"
"fepE","fepE"
"fepG","fepG"
"fes","fes"
"ffh","ffh"
"fhlA","fhlA"
"fhuA","fhuA"
"fhuB","fhuB"
"fhuC","fhuC"
"fhuD","fhuD"
"fhuE","fhuE"
"fhuF","fhuF"
"fic","fic"
"fidL","fidL"
"fieF","fieF"
"fijA","fijA"
"fimA","fimA"
"fimB","fimB"
"fimC","fimC"
"fimD","fimD"
"fimF","fimF"
"fimH","sfmH"
"fimI","fimI"
"fimW","fimW"
"fimY","fimY"
"fimZ","fimZ"
"finO","finO"
"finP","finP"
"fis","fis"
"fixA","fixA"
"fixB","fixB"
"fixC","fixC"
"fixX","fixX"
"fklB","fklB"
"fkpA","fkpA"
"fldA","fldA"
"fldB","fldB"
"flgA","flgA"
"flgB","flgB"
"flgC","flgC"
"flgD","flgD"
"flgE","flgE"
"flgF","flgF"
"flgG","flgG"
"flgH","flgH"
"flgI","flgI"
"flgJ","flgJ"
"flgK","flgK"
"flgL","flgL"
"flgM","flgM"
"flgN","flgN"
"flhA","flhA"
"flhB","flhB"
"flhC","flhC"
"flhD","flhD"
"flhE","flhE"
"fliA","fliA"
"fliB","fliB"
"flic","flic"
"fliC","fliC"
"fliD","fliD"
"fliE","fliE"
"fliF","fliF"
"fliG","fliG"
"flih","flih"
"fliH","fliH"
"fliI","fliI"
"fliJ","fliJ"
"fliK","fliK"
"fliL","fliL"
"fliM","fliM"
"fliN","fliN"
"fliO","fliO"
"fliP","fliP"
"fliQ","fliQ"
"fliR","fliR"
"fliS","fliS"
"fliT","fliT"
"fliY","tcyJ"
"fliZ","fliZ"
"fljA","fljA"
"fljB","fljB"
"flk","flk"
"flo","flo"
"floR","floR"
"fmt","fmt"
"fnr","fnr"
"focA","focA"
"folA","folA"
"folB","folB"
"folC","folC"
"folD","folD"
"folE","folE"
"folK","folK"
"folP","folP"
"fosA","fosA"
"fosA3","fosA3"
"fosA7","fosA7"
"FosA7.5","FosA7.5"
"foxA","foxA"
"fpr","fpr"
"frdA","frdA"
"frdB","frdB"
"frdC","frdC"
"frdD","frdD"
"fre","fre"
"frr","frr"
"frsA","frsA"
"fruA","fruA"
"fruB","fruB"
"fruK","fruK"
"frwB","frwB"
"frwC","frwC"
"frwD","frwD"
"fsa","fsa"
"fsr","fsr"
"ftn","ftnA"
"ftnB","ftnB"
"ftsA","ftsA"
"ftsB","nrdB"
"ftsE","ftsE"
"ftsH","ftsH"
"ftsI","ftsI"
"ftsK","ftsK"
"ftsL","ftsL"
"ftsN","ftsN"
"ftsP","ftsP"
"ftsQ","ftsQ"
"ftsW","ftsW"
"ftsX","ftsX"
"ftsY","ftsY"
"ftsZ","ftsZ"
"fucA","fucA"
"fucI","fucI"
"fucK","fucK"
"fucO","fucO"
"fucR","fucR"
"fucU","fucU"
"fumA","fumA"
"fumB","fumB"
"fumC","fumC"
"fumD","fumD"
"fur","fur"
"fusA","fusA"
"fxsA","fxsA"
"gabD","gabD"
"gabP","gabP"
"gabT","gabT"
"galE","galE"
"galF","galF"
"galK","galK"
"galM","galM"
"galP","galP"
"galR","galR"
"galS","galS"
"galT","galT"
"galU","galU"
"gapA","gapA"
"garD","garD"
"garK","garK"
"garL","garL"
"garR","garR"
"gatB","gatB"
"gatR","gatR"
"gatY","gatY"
"gatZ","gatZ"
"gcd","gcd"
"gcl","gcl"
"gcvA","gcvA"
"gcvH","gcvH"
"gcvP","gcvP"
"gcvR","gcvR"
"gcvT","gcvT"
"gdhA","gdhA"
"gdx","gdx"
"Gene","Gene"
"ggt","ggt"
"ghrA","ghrA"
"ghrB","ghrB"
"gidA","mnmG"
"gidB","rsmG"
"gip","hyi"
"glaH","glaH"
"gldA","gldA"
"glgA","glgA"
"glgB","glgB"
"glgC","glgC"
"glgP","glgP"
"glgS","glgS"
"glgX","glgX"
"glk","glk"
"glmM","glmM"
"glmS","glmS"
"glmU","glmU"
"glnA","glnA"
"glnB","glnB"
"glnD","glnD"
"glnE","glnE"
"glnG","glnG"
"glnH","glnH"
"glnK","glnK"
"glnL","glnL"
"glnP","glnP"
"glnQ","glnQ"
"glnS","glnS"
"gloA","gloA"
"gloB","gloB"
"glpA","glpA"
"glpB","glpB"
"glpC","glpC"
"glpD","glpD"
"glpE","glpE"
"glpF","glpF"
"glpG","glpG"
"glpK","glpK"
"glpQ","glpQ"
"glpR","glpR"
"glpT","glpT"
"GlpT","GlpT"
"glpX","glpX"
"glsA","glsA"
"gltA","gltA"
"gltB","gltB"
"gltD","gltD"
"gltI","gltI"
"gltJ","gltJ"
"gltK","gltK"
"gltL","gltL"
"gltP","gltP"
"gltS","gltS"
"gltX","gltX"
"gluQ","gluQ"
"glxK","glxK"
"glxR","glxR"
"glyA","glyA"
"glyQ","glyQ"
"glyS","glyS"
"gmd","gmd"
"gmhA","gmhA"
"gmhB","gmhB"
"gmk","gmk"
"gmm","gmm"
"gnd","gnd"
"gns","gns"
"gntK","gntK"
"gntR","gntR"
"gntT","gntT"
"gntU","gntU"
"gntX","yhgH"
"gogB","gogB"
"gor","gor"
"gph","gph"
"gpmA","gpmA"
"gpmB","ytjC"
"gpmI","gpmI"
"gppA","gpp"
"gpsA","gpsA"
"gpt","gpt"
"grcA","grcA"
"greA","greA"
"greB","greB"
"groEL","groL"
"groES","groS"
"grpE","grpE"
"grxA","grxA"
"grxB","grxB"
"grxC","grxC"
"gshA","gshA"
"gshB","gshB"
"gsiA","gsiA"
"gsiB","gsiB"
"gsiC","gsiC"
"gsiD","gsiD"
"gsk","gsk"
"gsp","gss"
"gst","gstA"
"guaA","guaA"
"guaB","guaB"
"guaC","guaC"
"gudD","gudD"
"gudT","gudT"
"gutM","gutM"
"gutQ","gutQ"
"gyrA","gyrA"
"GyrA","GyrA"
"gyrB","gyrB"
"GyrB","GyrB"
"hcaT","hcaT"
"hcp","hcp"
"hcr","hcr"
"hda","hda"
"hdeB","hdeB"
"hdfR","hdfR"
"helD","helD"
"hemA","hemA"
"hemB","hemB"
"hemC","hemC"
"hemD","hemD"
"hemE","hemE"
"hemF","hemF"
"hemG","hemG"
"hemH","hemH"
"hemL","hemL"
"hemN","hemN"
"hemX","hemX"
"hemY","hemY"
"hepA","rapA"
"hflC","hflC"
"hflD","hflD"
"hflK","hflK"
"hflX","hflX"
"hfq","hfq"
"hfQ","hfQ"
"hha","hha"
"hilA","hilA"
"hilC","hilC"
"hilD","hilD"
"hin","hin"
"hisA","hisA"
"hisB","hisB"
"hisC","hisC"
"hisD","hisD"
"hisF","hisF"
"hisG","hisG"
"hisH","hisH"
"hisI","hisI"
"hisJ","hisJ"
"hisL","hisL"
"hisM","hisM"
"hisP","hisP"
"hisQ","hisQ"
"hisS","hisS"
"hiuH","hiuH"
"hldD","rfaD"
"hldE","hldE"
"hlpA","skp"
"hmp","hmp"
"hnr","rssB"
"hns","hns"
"hofB","hofB"
"hofC","hofC"
"hofQ","hofQ"
"holA","holA"
"holB","holB"
"holC","holC"
"holD","holD"
"holE","holE"
"hopD","hopD"
"hpaA","hpaA"
"hpaB","hpaB"
"hpaC","hpaC"
"hpaD","hpaD"
"hpaE","hpaE"
"hpaF","hpaF"
"hpaG","hpaG"
"hpaH","hpaH"
"hpaR","hpaR"
"hpaX","hpaX"
"hpcH","hpcH"
"hpf","hpf"
"hpt","hpt"
"hrpA","hrpA"
"hrpB","hrpB"
"hscA","hscA"
"hscB","hscB"
"hscC","hscC"
"hsdM","hsdM"
"hsdR","hsdR"
"hsdS","hsdS"
"hslJ","hslJ"
"hslO","hslO"
"hslU","hslU"
"hslV","hslV"
"hspQ","hspQ"
"htgA","htgA"
"htpG","htpG"
"htpX","htpX"
"htrA","degP"
"htrB","lpxL"
"hupA","hupA"
"hupB","hupB"
"hutC","hutC"
"hutG","hutG"
"hutH","hutH"
"hutI","hutI"
"hyaA","hyaA"
"hybA","hybA"
"hybB","hybB"
"hybC","hybC"
"hybD","hybD"
"hybE","hybE"
"hybF","hybF"
"hybG","hybG"
"hycA","hycA"
"hycB","hycB"
"hycC","hycC"
"hycD","hycD"
"hycE","hycE"
"hycF","hycF"
"hycG","hycG"
"hycH","hycH"
"hycI","hycI"
"hydN","hydN"
"hypA","hypA"
"hypB","hypB"
"hypC","hypC"
"hypD","hypD"
"hypE","hypE"
"hypF","hypF"
"hypO","hypO"
"iaaA","iaaA"
"iacP","iacP"
"iadA","iadA"
"iagB","iagB"
"iap","iap"
"ibpA","ibpA"
"ibpB","ibpB"
"icc","cpdA"
"icdA","icd"
"iciA","argP"
"iclR","iclR"
"idi","idi"
"idnD","idnD"
"idnK","idnK"
"idnO","idnO"
"idnR","idnR"
"idnT","idnT"
"igaA","igaA"
"ihfA","ihfA"
"ihfB","ihfB"
"ileS","ileS"
"ilvA","ilvA"
"ilvB","ilvB"
"ilvC","ilvC"
"ilvD","ilvD"
"ilvE","ilvE"
"ilvG","ilvG"
"ilvH","ilvH"
"ilvI","ilvI"
"ilvL","ilvL"
"ilvM","ilvM"
"ilvN","ilvN"
"ilvY","ilvY"
"infA","infA"
"infB","infB"
"infC","infC"
"intl1","intl1"
"invA","invA"
"invB","invB"
"invC","invC"
"invE","invE"
"invF","invF"
"invG","invG"
"invH","invH"
"invI","invI"
"invJ","invJ"
"iolE","iolE"
"iolG","iolG"
"iprA","iprA"
"iraD","iraD"
"iraM","iraM"
"iraP","iraP"
"iroB","iroB"
"iroC","iroC"
"iroD","iroD"
"iroE","iroE"
"iroN","iroN"
"iscA","iscA"
