"old_names","new_names"
"celB","chbC(Salmonella)"
"rlpA","rlpA(Salmonella)"
"citG2","citG2(Salmonella)"
"purK","purK(Salmonella)"
"kdpD","kdpD(Salmonella)"
"yqhA","yqhA(Salmonella)"
"STM3141","STM3141(Salmonella)"
"obg","obgE(Salmonella)"
"STM3258","STM3258(Salmonella)"
"STM3256","STM3256(Salmonella)"
"slrB","slrB(Salmonella)"
"srlA","srlA(Salmonella)"
"STM2750","STM2750(Salmonella)"
"nuoF","nuoF(Salmonella)"
"amiA","amiA(Salmonella)"
"hemF","hemF(Salmonella)"
"infC","infC(Salmonella)"
"bfr","bfr(Salmonella)"
"setB","setB(Salmonella)"
"wzb","wzb(Salmonella)"
"wzc","wzc(Salmonella)"
"polA","polA(Salmonella)"
"zntB","zntB(Salmonella)"
"rplE","rplE(Salmonella)"
"mkaC","mkaC"
"ybbM","fetB(Salmonella)"
"STM2280","STM2280(Salmonella)"
"wcaG","fcl(Salmonella)"
"pgtP","pgtP(Salmonella)"
"cysH","cysH(Salmonella)"
"cysI","cysI(Salmonella)"
"katG","katG(Salmonella)"
"iclR","iclR(Salmonella)"
"proW","proW(Salmonella)"
"fruB","fruB(Salmonella)"
"der","der(Salmonella)"
"phrB","phr(Salmonella)"
"manA","manA(Salmonella)"
"putA","putA(Salmonella)"
"putP","putP(Salmonella)"
"nei","nei(Salmonella)"
"pabB","pabB(Salmonella)"
"bioB","bioB(Salmonella)"
"bioA","bioA(Salmonella)"
"radA","radA(Salmonella)"
"argS","argS(Salmonella)"
"foxA","foxA(Salmonella)"
"tctD","tctD(Salmonella)"
"mrdA","mrdA(Salmonella)"
"rhtA","rhtA(Salmonella)"
"ampD","ampD(Salmonella)"
"cspJ","cspJ(Salmonella)"
"truA","truA(Salmonella)"
"yfcG","yfcG(Salmonella)"
"napH","napH(Salmonella)"
"pduO","pduO(Salmonella)"
"amn","amn(Salmonella)"
"mtfA","mtfA(Salmonella)"
"iap","iap(Salmonella)"
"STM2727","STM2727(Salmonella)"
"rlmN","rlmN(Salmonella)"
"pheA","pheA(Salmonella)"
"yfiH","yfiH(Salmonella)"
"agp","agp(Salmonella)"
"coaE","coaE(Salmonella)"
"kduD","kduD(Salmonella)"
"dsbB","dsbB(Salmonella)"
"hpt","hpt(Salmonella)"
"yicL","yicL(Salmonella)"
"sthB","sthB(Salmonella)"
"yjjV","yjjV(Salmonella)"
"yjiY","btsT(Salmonella)"
"queG","queG(Salmonella)"
"lldD","lldD(Salmonella)"
"STM3863","STM3863(Salmonella)"
"dam","dam(Salmonella)"
"phoQ","phoQ(Salmonella)"
"phoP","phoP(Salmonella)"
"rplD","rplD(Salmonella)"
"bcfF","bcfF(Salmonella)"
"sitC","sitC(Salmonella)"
"uraA","uraA(Salmonella)"
"stfC","stfC(Salmonella)"
"wcaF","wcaF(Salmonella)"
"gmd","gmd(Salmonella)"
"ssaC","ssaC(Salmonella)"
"sitB","sitB(Salmonella)"
"STM2405","STM2405(Salmonella)"
"wcaE","wcaE(Salmonella)"
"ampE","ampE(Salmonella)"
"PSLT045","PSLT045(Salmonella)"
"STM1015","STM1015(Salmonella)"
"rseB","rseB(Salmonella)"
"katE","katE(Salmonella)"
"STM3121","STM3121(Salmonella)"
"sinH","sinH(Salmonella)"
"STM0149","STM0149(Salmonella)"
"rfaQ","rfaQ(Salmonella)"
"rfaG","waaG(Salmonella)"
"wcaA","wcaA(Salmonella)"
"orf408","orf408(Salmonella)"
"typA","bipA(Salmonella)"
"sitD","sitD(Salmonella)"
"bcfA","bcfA(Salmonella)"
"STM1269","STM1269(Salmonella)"
"bcfE","bcfE(Salmonella)"
"wcaB","wcaB(Salmonella)"
"yaiC","dgcC(Salmonella)"
"fic","fic(Salmonella)"
"carB","carB(Salmonella)"
"PSLT059","PSLT059(Salmonella)"
"mutL","mutL(Salmonella)"
"metF","metF(Salmonella)"
"yihU","yihU(Salmonella)"
"coaA","coaA(Salmonella)"
"aceK","aceK(Salmonella)"
"aceA","aceA(Salmonella)"
"lplA","lplA(Salmonella)"
"fadB","fadB(Salmonella)"
"rarD","rarD(Salmonella)"
"wecE","wecE(Salmonella)"
"rep","rep(Salmonella)"
"cysC","cysC(Salmonella)"
"dctA","dctA(Salmonella)"
"envZ","envZ(Salmonella)"
"pyrE","pyrE(Salmonella)"
"rpsN","rpsN(Salmonella)"
"STM0721","STM0721(Salmonella)"
"rpsF","rpsF(Salmonella)"
"yoaE","yoaE(Salmonella)"
"rnb","rnb(Salmonella)"
"STM1620","STM1620(Salmonella)"
"STM1614","STM1614(Salmonella)"
"fdnG","fdnG(Salmonella)"
"STM1555","STM1555(Salmonella)"
"STM1547","STM1547(Salmonella)"
"STM1536","STM1536(Salmonella)"
"ymdC","ymdC(Salmonella)"
