"old_names","new_names"
"deoC","deoC"
"deoD","deoD"
"gpmB","ytjC"
"fbp","fbp"
"creB","creB"
"creC","creC"
"STM4418","STM4418"
"sthE","sthE"
"sthD","sthD"
"STM4595","STM4595"
"lasT","yjtD"
"STM4432","STM4432"
"STM4434","STM4434"
"STM4446","STM4446"
"STM4464","STM4464"
"arcB","arcB"
"STM4466","STM4466"
"yjgK","tabA"
"valS","valS"
"holC","holC"
"pepA","pepA"
"yjgP","yjgP"
"yjgQ","yjgQ"
"idnT","idnT"
"idnK","idnK"
"yjgB","ahr"
"STM4490","STM4490"
"yeeN","yeeN"
"trpS2","trpS2"
"yedE","yedE"
"STM0035","STM0035"
"nhaA","nhaA"
"STM0042","STM0042"
"ileS","ileS"
"rihC","rihC"
"STM0052","STM0052"
"STM0053","STM0053"
"citC2","citC2"
"citG1","citG1"
"dapB","dapB"
"caiC","caiC"
"caiT","caiT"
"yaaU","yaaU"
"kefF","kefF"
"kefC","kefC"
"folA","folA"
"lptD","lptD"
"rluA","rluA"
"polB","polB"
"yabK","thiP"
"sgrR","sgrR"
"ddlB","ddlB"
"secA","secA"
"guaC","guaC"
"hofC","hofC"
"aceF","aceF"
"lpdA","lpd"
"acnB","acnB"
"speD","speD"
"speE","speE"
"cueO","cueO"
"yadF","can"
"stiH","stiH"
"stiA","stiA"
"panC","panC"
"panB","panB"
"gluQ","gluQ"
"sfsA","sfsA"
"mrcB","mrcB"
"fhuA","fhuA"
"thrA","thrA"
"clcA","clcA"
"dapD","dapD"
"STM0014","STM0014"
"uppS","ispU"
"bcfC","bcfC"
"bcfD","bcfD"
"STM0030","STM0030"
"lpxB","lpxB"
"yaeJ","arfB"
"yaeB","trmO"
"metI","metI"
"yafC","yafC"
"yafE","yafE"
"yafS","yafS"
"safC","safC"
"yafV","yafV"
"fadE","fadE"
"pepD","pepD"
"STM0331","STM0331"
"STM0332","STM0332"
"stbC","stbC"
"stbA","stbA"
"STM0351","STM0351"
"STM0352","STM0352"
"STM0353","STM0353"
"STM0360","STM0360"
"STM0361","STM0361"
"yahN","yahN"
"proC","proC"
"ppnP","ppnP"
"sbcD","sbcD"
"phoR","phoR"
"queA","queA"
"secD","secD"
"nusB","nusB"
"dxs","dxs"
"yajR","yajR"
"cyoC","cyoC"
"ampG","ampG"
"clpX","clpX"
"STM0458","STM0458"
"mdlA","mdlA"
"mdlB","mdlB"
"tesB","tesB"
"maa","maa"
"acrA","acrA"
"STM0479","STM0479"
"apt","apt"
"aes","aes"
"gsk","gsk"
"nadD","nadD"
"lptE","lptE"
"leuS","leuS"
"STM0650","STM0650"
"hscC","hscC"
"rihA","rihA"
"gltK","gltK"
"ubiF","ubiF"
"asnB","asnB"
"nagC","nagC"
"nagA","nagA"
"nagB","nagB"
"nagE","nagE"
"glnS","glnS"
"STM0692","STM0692"
"tesA","tesA"
"ybbP","ybbP"
"pgm","pgm"
"selU","selU"
