"old_names","new_names"
"blaPER","blaPER"
"blaPSE","blaPSE"
"blaSHV","blaSHV"
"blaSME","blaSME"
"blaTEM","blaTEM"
"blc","blc(Salmonella)"
"ble","ble"
"bleO","bleO"
"blmS","blmS"
"bolA","bolA(Salmonella)"
"brnQ","brnQ(Salmonella)"
"btsR","btsR(Salmonella)"
"btuB","btuB(Salmonella)"
"btuC","btuC(Salmonella)"
"btuD","btuD(Salmonella)"
"btuE","btuE(Salmonella)"
"btuF","btuF(Salmonella)"
"btuR","btuR(Salmonella)"
"cadA","cadA(Salmonella)"
"cadB","cadB(Salmonella)"
"cadC","cadC(Salmonella)"
"cafA","rng(Salmonella)"
"caiA","caiA(Salmonella)"
"caiB","caiB(Salmonella)"
"caiC","caiC(Salmonella)"
"caiD","caiD(Salmonella)"
"caiE","caiE(Salmonella)"
"caiF","caiF(Salmonella)"
"caiT","caiT(Salmonella)"
"carA","carA(Salmonella)"
"carB","carB(Salmonella)"
"cas1","cas1(Salmonella)"
"CAT","CAT"
"cat1","cat1"
"cat2","cat2"
"cat4","cat4"
"catA","catA"
"catA1","catA1"
"catA2","catA2"
"catB2","ptsG(Salmonella)"
"catB3","catB3"
"catB4","catB4"
"catB8","catB8"
"catP","catP"
"cbiA","cbiA(Salmonella)"
"cbiB","cbiB"
"cbiC","cbiC(Salmonella)"
"cbiD","cbiD(Salmonella)"
"cbiE","cbiE(Salmonella)"
"cbiF","cbiF(Salmonella)"
"cbiG","cbiG(Salmonella)"
"cbiH","cbiH(Salmonella)"
"cbiJ","cbiJ(Salmonella)"
"cbiK","cbiK(Salmonella)"
"cbiL","cbiL(Salmonella)"
"cbiM","cbiM(Salmonella)"
"cbiN","cbiN(Salmonella)"
"cbiO","cbiO(Salmonella)"
"cbiP","cbiP(Salmonella)"
"cbiQ","cbiQ"
"cbiT","cbiT(Salmonella)"
"cbpA","cbpA(Salmonella)"
"cbpM","cbpM(Salmonella)"
"cca","cca(Salmonella)"
"ccdA","ccdA(Salmonella)"
"ccdB","ccdB(Salmonella)"
"ccmA1","ccmA1"
"ccmA2","ccmA2"
"ccmB","ccmB(Salmonella)"
"ccmC","ccmC(Salmonella)"
"ccmD","ccmD(Salmonella)"
"ccmE1","ccmE1"
"ccmF","ccmF(Salmonella)"
"ccmH","ccmH(Salmonella)"
"cdaR","cdaR(Salmonella)"
"cdd","cdd(Salmonella)"
"cdh","cdh(Salmonella)"
"cdsA","cdsA(Salmonella)"
"cedA","cedA(Salmonella)"
"celA","celA(Salmonella)"
"celB","chbC(Salmonella)"
"celC","chbA(Salmonella)"
"celD","chbR(Salmonella)"
"celF","chbF(Salmonella)"
"cfa","cfa(Salmonella)"
"chaA","chaA(Salmonella)"
"chaB","chaB(Salmonella)"
"chbG","chbG(Salmonella)"
"cheA","cheA(Salmonella)"
"cheB","cheB(Salmonella)"
"cheM","cheM(Salmonella)"
"cheR","cheR(Salmonella)"
"cheW","cheW(Salmonella)"
"chey","chey"
"cheY","cheY(Salmonella)"
"chez","chez"
"cheZ","cheZ(Salmonella)"
"chiP","chiP(Salmonella)"
"chiQ","chiQ(Salmonella)"
"cho","cho(Salmonella)"
"cigR","cigR(Salmonella)"
"cirA","cirA(Salmonella)"
"citA","citA(Salmonella)"
"citB","citB(Salmonella)"
"citC","citC(Salmonella)"
"citC2","citC2(Salmonella)"
"citD1","citD1"
"citD2","citD2(Salmonella)"
"citE","citE(Salmonella)"
"citE2","citE2(Salmonella)"
"citF","citF(Salmonella)"
"citF2","citF2(Salmonella)"
"citG1","citG1"
"citG2","citG2(Salmonella)"
"citP","citP"
"citT","citT(Salmonella)"
"citX","citX(Salmonella)"
"citX2","citX2(Salmonella)"
"clcA","clcA(Salmonella)"
"clcB","clcB(Salmonella)"
"clpA","clpA(Salmonella)"
"clpB","clpB(Salmonella)"
"clpP","clpP(Salmonella)"
"clpS","clpS(Salmonella)"
"clpX","clpX(Salmonella)"
"clsA","clsA(Salmonella)"
"clsB","clsB(Salmonella)"
"cmeA","cmeA"
"cmeB","cmeB"
"cmeC","cmeC"
"cmeR","cmeR"
"cmk","cmk(Salmonella)"
"cml","cml"
"cmlA","mdfA(Salmonella)"
"cmlA1","cmlA1"
"cmlA5","cmlA5"
"cmlA9","cmlA9"
"cmoA","cmoA(Salmonella)"
"cmoB","cmoB(Salmonella)"
"coaA","coaA(Salmonella)"
"coaD","coaD(Salmonella)"
"coaE","coaE(Salmonella)"
"cobB","cobB(Salmonella)"
"cobC","cobC(Salmonella)"
"cobD","cobD(Salmonella)"
"cobS","cobS(Salmonella)"
"cobT","cobT(Salmonella)"
"cobU","cobU(Salmonella)"
"cof","cof(Salmonella)"
"copA","copA(Salmonella)"
"copR","copR(Salmonella)"
"copS","copS(Salmonella)"
"corA","corA(Salmonella)"
"corC","corC"
"corE","ypjD(Salmonella)"
